image,image_path,gt_count,pred_count,tp,fp,fn,predicted_at_least_one_cylinder,matched_at_least_one_cylinder
20_png_jpg.rf.60cc0ebf73e7f49ab640f36adfeae21b.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20_png_jpg.rf.60cc0ebf73e7f49ab640f36adfeae21b.jpg,1,4,1,3,0,True,True
21_png_jpg.rf.8e7c6f1112fe3f121ad7e323ca6c62be.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\21_png_jpg.rf.8e7c6f1112fe3f121ad7e323ca6c62be.jpg,2,1,1,0,1,True,True
22_png_jpg.rf.45d3c715bef4e4b6f8d6c561c20a195a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\22_png_jpg.rf.45d3c715bef4e4b6f8d6c561c20a195a.jpg,2,2,2,0,0,True,True
237_jpg.rf.d69195d1ebae87dd886b45f5850b4dcc.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\237_jpg.rf.d69195d1ebae87dd886b45f5850b4dcc.jpg,1,1,1,0,0,True,True
240_jpg.rf.42e6ebd7415846937d90b775919e283a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\240_jpg.rf.42e6ebd7415846937d90b775919e283a.jpg,5,5,5,0,0,True,True
241_jpg.rf.789156ab45877ab8f49e55de592e000a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\241_jpg.rf.789156ab45877ab8f49e55de592e000a.jpg,1,1,1,0,0,True,True
24_jpg.rf.17ac3c1296a5047166500bd5a52c5d89.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\24_jpg.rf.17ac3c1296a5047166500bd5a52c5d89.jpg,1,1,1,0,0,True,True
24_jpg.rf.f610a6616059143dc8f7b25e0c2043c3.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\24_jpg.rf.f610a6616059143dc8f7b25e0c2043c3.jpg,1,1,1,0,0,True,True
253_jpg.rf.0e9523bb5b73761a74591c061afd883d.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\253_jpg.rf.0e9523bb5b73761a74591c061afd883d.jpg,1,1,1,0,0,True,True
25_png_jpg.rf.f5ad7462e4cb989df4fdb82ef48b7942.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\25_png_jpg.rf.f5ad7462e4cb989df4fdb82ef48b7942.jpg,1,1,1,0,0,True,True
29_jpg.rf.45d32e8e75a1e8e2eb39b625bfb3c39b.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\29_jpg.rf.45d32e8e75a1e8e2eb39b625bfb3c39b.jpg,1,1,1,0,0,True,True
29_jpg.rf.5c849afbc7fdfd2d68c69a1c63689426.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\29_jpg.rf.5c849afbc7fdfd2d68c69a1c63689426.jpg,2,2,2,0,0,True,True
